ปีที่เกิดเหตุ,วันที่เกิดเหตุ,เวลา,วันที่รายงาน,เวลาที่รายงาน,ACC_CODE,หน่วยงาน,สายทางหน่วยงาน,รหัสสายทาง,สายทาง,KM,จังหวัด,รถคันที่1,บริเวณที่เกิดเหตุ,มูลเหตุสันนิษฐาน,ลักษณะการเกิดเหตุ,สภาพอากาศ,LATITUDE,LONGITUDE,รถที่เกิดเหตุ,รถและคนที่เกิดเหตุ,รถจักรยานยนต์,รถสามล้อเครื่อง,รถยนต์นั่งส่วนบุคคล,รถตู้,รถปิคอัพโดยสาร,รถโดยสารมากกว่า4ล้อ,รถปิคอัพบรรทุก4ล้อ,รถบรรทุก6ล้อ,รถบรรทุกไม่เกิน10ล้อ,รถบรรทุกมากกว่า10ล้อ,รถอีแต๋น,รถอื่นๆ,คนเดินเท้า,ผู้เสียชีวิต,ผู้บาดเจ็บสาหัส,ผู้บาดเจ็บเล็กน้อย,รวมจำนวนผู้บาดเจ็บ
2025,45658,0:30,45659,5:06,9966609,กรมทางหลวง,ทางหลวง,2440,บ้านใหม่ไชยพจน์ - ทางพาด,0.9,บุรีรัมย์,รถปิคอัพบรรทุก 4 ล้อ,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,ชนท้าย,แจ่มใส,15.57484836,102.8326616,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
2025,45658,0:30,45659,5:39,9995811,กรมทางหลวงชนบท,ทางหลวงชนบท,ลบ.4056,แยกทางหลวงหมายเลข 2340 (กม.ที่ 19+600) - บ้านประดู่งาม,8.05,ลพบุรี,รถจักรยานยนต์,ทางสี่แยก,ขับรถเร็วเกินอัตรากำหนด,,มืดครึ้ม,15.40246,100.972783,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2025,45658,0:34,45658,19:44,9966285,กรมทางหลวง,ทางหลวง,3203,ทางเข้าโครงการพระราชประสงค์หุบกะพง,0.683,เพชรบุรี,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,,ขับรถเร็วเกินอัตรากำหนด,ชนเป็นมุมบริเวณทางแยก,แจ่มใส,12.80947784,99.93766387,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2025,45658,0:40,45660,7:24,9967423,กรมทางหลวง,ทางหลวง,3310,,8,นครปฐม,รถจักรยานยนต์,,ขับรถเร็วเกินอัตรากำหนด,ชนท้าย,แจ่มใส,13.77644613,100.3281623,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2025,45658,0:45,45663,15:29,9969801,กรมทางหลวง,ทางหลวง,4326,เบตง - บ้านกม.17,2.46,ยะลา,รถจักรยานยนต์,,ขับรถเร็วเกินอัตรากำหนด,พลิกคว่ำ/ตกถนนในทางโค้ง,แจ่มใส,5.771293518,101.104454,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2025,45658,1:00,45663,11:08,9969677,กรมทางหลวง,ทางหลวง,3271,เนินสูง - ด่านชุมพล,4.733,ตราด,รถจักรยานยนต์,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,ชนท้าย,แจ่มใส,12.28812585,102.6148923,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
2025,45658,1:00,45659,5:11,9995825,กรมทางหลวงชนบท,ทางหลวงชนบท,ชน.4052,แยกทางหลวงหมายเลข 3183 (กม.ที่ 18+350) - แยกทางหลวงหมายเลข 340 (กม.ที่ 152+068) (ตอน 11+100 - 45+323),42.55,สุพรรณบุรี,รถจักรยานยนต์,ทางตรง+ไม่มีความลาดชัน,เมาสุรา,,แจ่มใส,14.95364,100.054923,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2025,45658,1:00,45677,11:18,9995829,กรมทางหลวงชนบท,ทางหลวงชนบท,ลบ.5025,แยกทางหลวงชนบท ลบ.2134 (กม.ที่ 10+150) - บ้านเกาะรัง,0.1,เพชรบูรณ์,รถจักรยานยนต์,ทางตรง+ที่ลาดชัน,ขับรถเร็วเกินอัตรากำหนด,,อื่นๆ,15.327459,101.212316,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
2025,45658,1:30,45659,16:48,9967007,กรมทางหลวง,ทางหลวง,1096,แม่ริม - ปางดะ,15.375,เชียงใหม่,รถจักรยานยนต์,ทางตรง+ไม่มีความลาดชัน,เมาสุรา,ชนท้าย,แจ่มใส,18.88809541,98.82950887,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
2025,45658,1:32,45659,4:07,9966579,กรมทางหลวง,ทางหลวง,1192,อินทนนท์ - แม่แจ่ม,15.3,เชียงใหม่,รถจักรยานยนต์,ทางโค้งกว้าง+ที่ลาดชัน,เมาสุรา,,แจ่มใส,18.51724581,98.46356302,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2025,45658,1:35,45770,10:18,10047933,กรมทางหลวง,ทางหลวง,34,ทางเข้าท่าอากาศยานสุวรรณภูมิ - บางวัว,28,สมุทรปราการ,รถจักรยานยนต์,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,ชนท้าย,แจ่มใส,13.58562795,100.8480459,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2025,45658,1:37,45659,6:11,9966680,กรมทางหลวง,ทางหลวง,1070,ตะพานหิน - ไผ่ท่าโพ,2.8,พิจิตร,รถปิคอัพบรรทุก 4 ล้อ,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,ชนท้าย,แจ่มใส,16.22409689,100.3852437,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2025,45658,1:40,45659,22:14,9967191,กรมทางหลวง,ทางหลวง,4003,สวี - บ่อคา,9.8,ชุมพร,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,พลิกคว่ำ/ตกถนนในทางตรง,แจ่มใส,10.23145957,99.17111233,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2025,45658,2:00,45658,20:06,9966369,กรมทางหลวง,ทางหลวง,1,ต่างระดับบางปะอิน - หนองแค,74.2,อยุธยา,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,ทางตรง+ไม่มีความลาดชัน,หลับใน,พลิกคว่ำ/ตกถนนในทางตรง,แจ่มใส,14.26807108,100.7906911,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2025,45658,2:00,45659,21:14,9967141,กรมทางหลวง,ทางหลวง,403,ทุ่งสง - กะปาง,57.68,นครศรีธรรมราช,รถปิคอัพบรรทุก 4 ล้อ,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,ชนท้าย,แจ่มใส,8.092193718,99.66403395,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1
2025,45658,2:00,45673,16:13,9995830,กรมทางหลวงชนบท,ทางหลวงชนบท,อด.4002,แยกทางหลวงหมายเลข 2096 (กม.ที่ 28+500) - บ้านสร้างคอม,37.02,อุดรธานี,รถจักรยานยนต์,ทางสามแยก (T),ขับรถเร็วเกินอัตรากำหนด,,แจ่มใส,17.787665,103.109352,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2025,45658,2:20,45660,16:31,9967743,กรมทางหลวง,ทางหลวง,3,หนองไม้แดง - ชลบุรี,89.922,ชลบุรี,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,ชนท้าย,แจ่มใส,13.39878589,100.9879938,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2
2025,45658,2:25,45765,8:37,10041524,กรมทางหลวง,ทางหลวง,3340,หนองเสม็ด - บ่อทอง,7.095,ชลบุรี,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,,คน/รถ/สัตว์ตัดหน้ากระชั้นชิด,ชนท้าย,แจ่มใส,13.30906746,101.3321735,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,4
2025,45658,2:30,45658,12:40,9995804,กรมทางหลวงชนบท,ทางหลวงชนบท,มค.3015,แยกทางหลวงหมายเลข 219 (กม.ที่ 17+190) - บ้านอีเม้ง,16.35,มหาสารคาม,รถจักรยานยนต์,ทางโค้งกว้าง+ไม่มีความลาดชัน,ทางโค้งอันตราย,,มืดครึ้ม,15.623033,103.217048,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2025,45658,2:30,45677,11:15,9995812,กรมทางหลวงชนบท,ทางหลวงชนบท,ฉช.2004,แยกทางหลวงหมายเลข 34 (กม.ที่ 35+900) - บ้านบางพระ,3.76,ฉะเชิงเทรา,รถจักรยานยนต์,ทางตรง+ไม่มีความลาดชัน,เมาสุรา,,แจ่มใส,13.604799,100.935334,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2025,45658,2:43,45659,5:14,9966619,กรมทางหลวง,ทางหลวง,4021,เมืองภูเก็ต - ห้าแยกฉลอง,2.5,ภูเก็ต,รถจักรยานยนต์,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,พลิกคว่ำ/ตกถนนในทางตรง,แจ่มใส,7.853776976,98.3558684,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2025,45658,2:54,45677,11:16,9995833,กรมทางหลวงชนบท,ทางหลวงชนบท,รอ.4028,แยกทางหลวงหมายเลข 2116 (กม.ที่ 106+250) - บ้านเมยวดี,0.35,ร้อยเอ็ด,รถจักรยานยนต์,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,,แจ่มใส,16.323793,104.277014,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2025,45658,3:00,45659,21:29,9967154,กรมทางหลวง,ทางหลวง,4169,ทางรอบเกาะสมุย,39.2,สุราษฎร์ธานี,รถจักรยานยนต์,ทางตรง+ไม่มีความลาดชัน,ไม่คุ้นเคยกับการขับขี่ด้านซ้าย,ชนในทิศทางตรงกันข้าม (ไม่ใช่การแซง),แจ่มใส,9.577874021,99.98052548,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2025,45658,3:00,45659,22:23,9967195,กรมทางหลวง,ทางหลวง,3459,สามแยกบ้านกรูด - ปากคลองบ้านกรูด,2.25,ประจวบคีรีขันธ์,รถจักรยานยนต์,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,พลิกคว่ำ/ตกถนนในทางตรง,แจ่มใส,11.37781346,99.52392742,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2025,45658,3:00,45666,15:47,9970387,กรมทางหลวง,ทางหลวง,33,ประจันตคาม - พระปรง,192.22,ปราจีนบุรี,รถจักรยานยนต์,,ขับรถเร็วเกินอัตรากำหนด,พลิกคว่ำ/ตกถนนในทางตรง,แจ่มใส,14.013722,101.6968417,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2025,45658,3:13,45659,4:40,9995824,กรมทางหลวงชนบท,ทางหลวงชนบท,อท.2034,แยกทางหลวงหมายเลข 32 (กม.ที่ 52+550) - บ้านมหานาม,3.9,อ่างทอง,รถจักรยานยนต์,ทางตรง+ไม่มีความลาดชัน,หลับใน,,แจ่มใส,14.631499,100.465003,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2025,45658,3:15,45660,14:18,9967633,กรมทางหลวง,ทางหลวง,2085,กันทรลักษ์ - กันทรารมย์,47.9,ศรีสะเกษ,รถจักรยานยนต์,ทางตรง+ไม่มีความลาดชัน,แซงรถอย่างผิดกฎหมาย,ชนในทิศทางตรงกันข้าม (ไม่ใช่การแซง),แจ่มใส,15.05368888,104.6225612,3,3,2,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,2
2025,45658,3:15,45677,14:28,10182425,กรมทางหลวง,ทางหลวง,1074,สลกบาตร - ทุ่งสนุ่น,20.55,กำแพงเพชร,รถปิคอัพบรรทุก 4 ล้อ,ทางโค้งกว้าง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,พลิกคว่ำ/ตกถนนในทางโค้ง,แจ่มใส,16.13669611,99.92742192,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2
2025,45658,3:20,45733,14:54,10012268,กรมทางหลวง,ทางหลวง,3215,บางบัวทอง - ไทรน้อย,24.97,นนทบุรี,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,ชนสิ่งกีดขวาง (บนผิวจราจร),แจ่มใส,13.9789608,100.3284328,2,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2025,45658,3:30,45658,20:15,9966371,กรมทางหลวง,ทางหลวง,3901,บึงคำพร้อย - คลองพระยาสุเรนทร์,32.6,กรุงเทพมหานคร,รถปิคอัพบรรทุก 4 ล้อ,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,พลิกคว่ำ/ตกถนนในทางตรง,แจ่มใส,13.91124258,100.7002582,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
2025,45658,3:30,46002,14:19,10238541,กรมทางหลวง,ทางหลวง,115,คลองโนน - เนินสมอ,91.185,พิจิตร,รถจักรยานยนต์,,ขับรถเร็วเกินอัตรากำหนด,อื่นๆ,แจ่มใส,16.45693886,100.3413829,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2025,45658,3:40,45677,11:18,9995834,กรมทางหลวงชนบท,ทางหลวงชนบท,ปท.3023,แยกทางหลวงหมายเลข 305 (กม.ที่ 26+350) - เลียบคลอง 11 ฝั่งตะวันตก,5.77,ปทุมธานี,รถจักรยานยนต์,ทางตรง+ไม่มีความลาดชัน,เมาสุรา,,แจ่มใส,14.112847,100.846069,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2025,45658,4:00,45658,18:27,9966212,กรมทางหลวง,ทางหลวง,201,ปากภู - เชียงคาน,354.959,เลย,รถจักรยานยนต์,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,พลิกคว่ำ/ตกถนนในทางตรง,แจ่มใส,17.55976191,101.7280139,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2025,45658,4:20,45950,15:27,10174775,กรมทางหลวง,ทางหลวง,21,ศรีเทพ - ซับสมอทอด,119.28,เพชรบูรณ์,รถปิคอัพบรรทุก 4 ล้อ,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,พลิกคว่ำ/ตกถนนในทางตรง,แจ่มใส,15.59800494,101.0656424,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2025,45658,4:30,45658,19:40,9966291,กรมทางหลวง,ทางหลวง,3497,ช้างแรก - บางสะพานน้อย,9.063,ประจวบคีรีขันธ์,รถตู้,ทางโค้งกว้าง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,พลิกคว่ำ/ตกถนนในทางโค้ง,แจ่มใส,11.0800756,99.45200166,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2025,45658,4:30,45658,22:04,9966481,กรมทางหลวง,ทางหลวง,222,พังโคน - เดื่อศรีคันไชย,1.85,สกลนคร,รถจักรยานยนต์,,ขับรถเร็วเกินอัตรากำหนด,ชนสิ่งกีดขวาง (บนผิวจราจร),แจ่มใส,17.4050135,103.7255727,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2025,45658,4:30,45898,9:25,10140984,กรมทางหลวง,ทางหลวง,4103,เบญจม - จังหูน,20.62,นครศรีธรรมราช,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,พลิกคว่ำ/ตกถนนในทางตรง,แจ่มใส,8.379808758,99.92157606,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2
2025,45658,4:45,45659,5:50,9966654,กรมทางหลวง,ทางหลวง,4021,เมืองภูเก็ต - ห้าแยกฉลอง,4.98,ภูเก็ต,รถจักรยานยนต์,,เมาสุรา,ชนท้าย,แจ่มใส,7.83370567,98.34734313,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2025,45658,4:50,45944,8:47,10170177,กรมทางหลวง,ทางหลวง,407,คลองหวะ - ควนหิน,1.4,สงขลา,รถจักรยานยนต์,,ขับรถเร็วเกินอัตรากำหนด,ชนสิ่งกีดขวาง (บนผิวจราจร),แจ่มใส,6.985950252,100.4821037,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2025,45658,4:55,45658,20:30,9966394,กรมทางหลวง,ทางหลวง,3086,ทุ่งมะสังข์ - ปลักประดู่,20.12,กาญจนบุรี,รถจักรยานยนต์,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,พลิกคว่ำ/ตกถนนในทางตรง,แจ่มใส,14.24274465,99.50418679,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2025,45658,5:00,45670,18:26,9971222,กรมทางหลวง,ทางหลวง,404,ตรัง - บ้านนา,21.68,ตรัง,รถจักรยานยนต์,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,ชนคนเดินเท้า,แจ่มใส,7.367961744,99.67699952,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2
2025,45658,5:00,45905,6:25,10145828,กรมทางหลวง,ทางหลวง,7,หนองข้างคอก - ตะเคียนเตี้ย,100.2,ชลบุรี,รถปิคอัพบรรทุก 4 ล้อ,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,พลิกคว่ำ/ตกถนนในทางตรง,แจ่มใส,13.11360463,100.9858494,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2
2025,45658,5:10,45658,16:50,9966177,กรมทางหลวง,ทางหลวง,1101,ทุ่งโฮ้ง - ป่าแดง,2.55,แพร่,รถจักรยานยนต์,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,ชนสิ่งกีดขวาง (บนผิวจราจร),แจ่มใส,18.14582756,100.1924251,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2025,45658,5:15,45659,1:44,9966552,กรมทางหลวง,ทางหลวง,7,,147,ระยอง,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,ชนสิ่งกีดขวาง (บนผิวจราจร),แจ่มใส,12.72764689,101.0142784,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025,45658,5:30,45740,16:47,10017330,กรมทางหลวง,ทางหลวง,24,กระเทียม - ห้วยสำราญ,245.6,สุรินทร์,รถปิคอัพบรรทุก 4 ล้อ,ทางตรง+ไม่มีความลาดชัน,หลับใน,พลิกคว่ำ/ตกถนนในทางตรง,แจ่มใส,14.6229568,103.89752,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2025,45658,5:30,45680,9:14,10181646,กรมทางหลวง,ทางหลวง,1132,วังประจบ - ลานทอง,10.7,ตาก,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,ทางตรง+ไม่มีความลาดชัน,หลับใน,พลิกคว่ำ/ตกถนนในทางตรง,แจ่มใส,16.83515678,99.37884808,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2025,45658,5:40,45658,19:39,9966256,กรมทางหลวง,ทางหลวง,3208,เขาวัง - น้ำพุ,2.31,ราชบุรี,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,ชนท้าย,แจ่มใส,13.52424411,99.77163302,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2025,45658,5:40,45658,20:27,9966393,กรมทางหลวง,ทางหลวง,3508,,1.75,ปทุมธานี,รถจักรยานยนต์,ทางเชื่อมเข้าพื้นที่สาธารณะ/เชิงพาณิชย์,ขับรถเร็วเกินอัตรากำหนด,อื่นๆ,แจ่มใส,13.9642089,100.6052394,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2025,45658,5:45,45695,12:08,9985809,กรมทางหลวง,ทางหลวง,121,ต้นเปา - ดอนแก้ว,20.5,เชียงใหม่,รถปิคอัพบรรทุก 4 ล้อ,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,พลิกคว่ำ/ตกถนนในทางตรง,แจ่มใส,18.81514137,99.05443403,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
2025,45658,5:50,45695,12:20,9985834,กรมทางหลวง,ทางหลวง,32,ไชโย - สิงห์ใต้,82.7,สิงห์บุรี,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,ทางตรง+ไม่มีความลาดชัน,หลับใน,พลิกคว่ำ/ตกถนนในทางตรง,แจ่มใส,14.86335527,100.4407745,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025,45658,6:30,45659,14:37,9966912,กรมทางหลวง,ทางหลวง,232,,9.65,ร้อยเอ็ด,รถจักรยานยนต์,ทางตรง+ไม่มีความลาดชัน,หลับใน,พลิกคว่ำ/ตกถนนในทางตรง,แจ่มใส,16.0925754,103.6797179,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2025,45658,6:50,45903,10:25,10143737,กรมทางหลวง,ทางหลวง,309,วังน้อย - บ้านสร้าง,5.68,อยุธยา,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,,ขับรถเร็วเกินอัตรากำหนด,ชนคนเดินเท้า,แจ่มใส,14.27330054,100.6837669,1,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,2
